Word	Valence	Arousal	Dominance
discografía	6.140399932861328	3.9375	4.127600193023682
discográfica	5.295199871063232	3.9964001178741455	3.9683001041412354
disconformidad	2.9964001178741455	6.103899955749512	5.521399974822998
discontinuidad	3.906399965286255	5.052299976348877	4.7677998542785645
discordia	2.697000026702881	5.7866997718811035	5.232999801635742
discoteca	6.354800224304199	5.460400104522705	5.107600212097168
discreción	5.084400177001953	4.552700042724609	4.37529993057251
discrecionalidad	5.209499835968018	4.444799900054932	4.347700119018555
discrepancia	3.7100000381469727	5.851200103759766	5.291500091552734
discreta	6.169300079345703	3.8887999057769775	4.06220006942749
discriminación	1.566499948501587	6.567299842834473	5.80620002746582
discriminar	1.7475999593734741	6.185100078582764	5.4893999099731445
discriminatorio	1.877500057220459	6.257800102233887	5.652100086212158
disculpa	6.447500228881836	4.05649995803833	4.162899971008301
disculpar	6.220399856567383	3.7177000045776367	3.815999984741211
